-1 89:19455.5 50:7.231735493 51:13.21830033 53:77.81999969 336:45.9679985 309:0 32:71.95999908 324:9500 30:72.41000366 88:19184.09766 22:100 24:77.66000366 42:1 43:1 90:9551.657227 20:40.02999878 28:58.26499939 27:64.10500336
-1 89:24085.16602 50:8.884346277 51:11.06289748 53:0 336:45.55400085 309:0 32:72.94999695 324:9500 30:72.46399689 88:21211.30469 22:31.89500046 24:0 42:1 43:1 90:4712.09082 20:71.11000061 28:62.88000107 27:60.01499939
-1 89:20615.93945 50:7.898637076 51:13.01055979 53:68.40000153 336:45.5 309:0 32:71.18599701 324:9500 30:72.5719986 88:20013.19922 22:100 24:68.62999725 42:1 43:1 90:9402.207031 20:4.235000134 28:60.20000076 27:63.72999954
-1 89:20192.86133 50:7.539036032 51:13.8282135 53:73.81999969 336:45.84199905 309:0 32:71.97799683 324:9500 30:72.51799774 88:19811.91602 22:100 24:73.73999786 42:1 43:1 90:9560.448242 20:47.48500061 28:59.16999817 27:65.18499756
-1 89:18742.31445 50:8.259738338 51:16.65577584 53:100 336:45.2840004 309:0 32:70.08799744 324:9500 30:72.53600311 88:19586.66016 22:100 24:100 42:1 43:1 90:12945.06055 20:73.27999878 28:61.20500183 27:69.83499908
-1 89:18693.96289 50:8.232438733 51:16.52089129 53:100 336:45.4640007 309:0 32:69.36799622 324:9500 30:72.68000031 88:19926.93555 22:100 24:100 42:1 43:1 90:13032.97266 20:56.95500183 28:61.13000107 27:69.625
-1 89:18609.34766 50:8.226985917 51:16.45370537 53:100 336:45.77000046 309:0 32:68.82800293 324:9500 30:72.71600342 88:19716.06836 22:100 24:100 42:1 43:1 90:13024.18066 20:27.875 28:61.11500168 27:69.51999664
-1 89:18573.08398 50:8.010724721 51:16.37394929 53:100 336:45.66199875 309:0 32:68.97200012 324:9500 30:72.68000031 88:19859.8418 22:100 24:100 42:1 43:1 90:13173.63184 20:25.10499954 28:60.51499939 27:69.39499664
-1 89:18536.82031 50:8.057273914 51:16.19618089 53:100 336:46.22000122 309:0 32:68.90000153 324:9500 30:72.7519989 88:19783.16211 22:100 24:100 42:1 43:1 90:13068.1377 20:13.52499962 28:60.64500046 27:69.11499786
-1 89:19334.62109 50:6.18900566 51:16.21833756 53:0 336:45.98600006 309:0 32:69.44000244 324:9500 30:72.71600342 88:16787.88477 22:0 24:0 42:1 43:1 90:12839.56641 20:9.284999847 28:55 27:69.15000153
